sr_no,state,mp,constituency,allocated_amount,work_id_canonical,work_id_status,house,source_file,elected_nominated
134,Bihar,Dinesh Chandra Yadav,MADHEPURA,150070866.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
135,Gujarat,DINESHBHAI MAKWANA,AHMEDABAD WEST(SC),160434965.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
136,Andhra Pradesh,DR BYREDDY SHABARI,NANDYAL,150675889.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
137,Karnataka,DR C N MANJUNATH,BANGALORE RURAL,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
138,Andhra Pradesh,Dr Chandra Sekhar Pemmasani,GUNTUR,159774113.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
139,Punjab,DR DHARAMVIRA GANDHI,PATIALA,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
140,West Bengal,Dr Jayanta Kumar Roy,JALPAIGURI(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
141,Maharashtra,DR KALGE SHIVAJI BANDAPPA,LATUR(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
142,Bihar,Dr Mohammad Jawed,KISHANGANJ,148669229.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
143,Uttar Pradesh,DR RAJKUMAR SANGWAN,BAGHPAT,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
144,Tamil Nadu,DR RANI SRI KUMAR,TENKASI(SC),153060922.82,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
145,Kerala,Dr Shashi Tharoor,THIRUVANANTHAPURAM,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
146,West Bengal,Dr Sukanta Majumdar,BALURGHAT,157085364.9,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
147,Gujarat,DR. HEMANG JOSHI,VADODARA,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
148,Maharashtra,DR. HEMANT VISHNU SAVARA,PALGHAR(ST),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
149,Maharashtra,DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
150,Madhya Pradesh,DR. LATA WANKHEDE,SAGAR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
151,Kerala,DR. M.P ABDUSSAMAD SAMADANI,PONNANI,170434031.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
152,Gujarat,DR. MANSUKH MANDAVIYA,PORBANDAR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
153,Karnataka,DR. PRABHA MALLIKARJUN,DAVANAGERE,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
154,Odisha,DR. PRADEEP KUMAR PANIGRAHY,BERHAMPUR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
155,Maharashtra,DR. PRASHANT YADAORAO PADOLE,BHANDARA-GONDIYA,159680283.39,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
156,Punjab,DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
157,Madhya Pradesh,DR. RAJESH MISHRA,SIDHI,262724510.35,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
158,Uttar Pradesh,DR. S P SINGH,PRATAPGARH,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
159,West Bengal,DR. SHARMILA SARKAR,BARDHAMAN PURBA(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
160,Karnataka,DR.K.SUDHAKAR,CHIKBALLAPUR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
161,Telangana,DR.MALLU RAVI,NAGARKURNOOL(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
162,Jharkhand,DULU MAHATO,DHANBAD,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
163,Tamil Nadu,DURAI VAIKO,TIRUCHIRAPPALLI,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
164,Madhya Pradesh,Durga Das Uikey,BETUL(ST),151569502.91,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
165,Rajasthan,Dushyant Singh,JHALAWAR-BARAN,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
166,Karnataka,E. TUKARAM,BELLARY(ST),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
167,Kerala,E.T. MOHAMMED BASHEER,MALAPPURAM,163895872.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
