"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3183","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18402/2025-2026/219927","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","17-Feb-2026","The Shiri Ram Coop L and C society","Payment Success","380949"
"3184","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18402/2025-2026/219927","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","26-May-2026","The Shiri Ram Coop L and C society","Payment Success","120750"
"3185","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18402/2025-2026/219929","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","08-May-2026","The Shiri Ram Coop L and C society","Payment Success","68571"
"3186","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2025-2026/224291","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","17-Feb-2026","Raja Sahib Ji Traders","Payment Success","229400"
"3187","Punjab","Creation of new ponds","WS/MP235/2025-2026/263615","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","20-Feb-2026","Kuldeep Singh","Payment Success","200000"
"3188","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2025-2026/255050","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","20-May-2026","MS Vishwakarma Brick Industry","Payment Success","15600"
"3189","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18298/2025-2026/246211","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","25-Mar-2026","MS MAHESHKUMAR BABULAL","Payment Success","600409"
"3190","Punjab","Renovation of ponds and lakes","WS/MP235/2026-2027/286152","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Jul-2026","Malkeet Sungh","Payment Success","90000"
"3191","Punjab","Renovation of ponds and lakes","WS/MP235/2026-2027/286152","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Aug-2026","Malkeet Sungh","Payment Success","72000"
"3192","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/267412","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Feb-2026","Malkeet Sungh","Payment Success","90000"
"3193","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/267412","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Mar-2026","Malkeet Sungh","Payment Success","54000"
"3194","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2025-2026/267411","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","20-May-2026","Malkeet Sungh","Payment Success","48800"
"3195","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2025-2026/267411","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","24-Jun-2026","Malkeet Sungh","Payment Success","46000"
"3196","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/267412","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","20-Apr-2026","Malkeet Sungh","Payment Success","60000"
"3197","Maharashtra","Construction of rooms and halls in school and colleges","WS/MP18286/2024-2025/146588","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","30-Mar-2026","SAURABH BALASAHEB JADHAV","Payment Success","931443"
"3198","Maharashtra","Setting up of laboratories","WS/MP18286/2024-2025/146589","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","30-Mar-2026","KIRAN BHAGWAN GHUTUKADE","Payment Success","1000000"
"3199","Maharashtra","Construction of community centers and community halls","WS/MP18286/2025-2026/192201","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","16-Mar-2026","OM SAI  MAJUR SAH SANSTHA MAR","Payment Success","995304"
"3200","Maharashtra","Construction of public toilets and bathrooms","WS/MP18286/2025-2026/192204","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","16-Mar-2026","OM SAI  MAJUR SAH SANSTHA MAR","Payment Success","993015"
"3201","Maharashtra","Construction of rooms and halls in school and colleges","WS/MP18286/2025-2026/202720","SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","20-Feb-2026","CHAIRMAN SHARAD MAJUR SAHAKARI SAMSTHA INCHAGAON","Payment Success","411059"
"3202","Maharashtra","Construction of footpaths and pedestrian ways","WS/MP18286/2026-2027/202721","SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","27-May-2026","CHAIRMAN SHARAD MAJUR SAHAKARI SAMSTHA INCHAGAON","Payment Success","500000"
