"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"4818","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2024-2025/160557","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","08-Jul-2025","Nek Mohammad","Payment Success","869"
"4819","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/159383","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","09-Jul-2025","CHETHAN B R","Payment Success","499327"
"4820","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/159394","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","09-Jul-2025","CHETHAN B R","Payment Success","499109"
"4821","Uttar Pradesh","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP196/2025-2026/227627","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","24-Feb-2026","JAI CONSTRUCTION","Payment Success","3152960"
"4822","Uttar Pradesh","Forest conservation infrastructure","WS/MP196/2025-2026/201343","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","13-Jul-2026","JAI CONSTRUCTION","Payment Success","4554800"
"4823","Uttar Pradesh","Purchase of furniture and fixtures for educational purposes","WS/MP196/2024-2025/147625","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","21-Aug-2025","JAI CONSTRUCTION","Payment Success","280604"
"4824","Uttar Pradesh","Purchase of furniture and fixtures for educational purposes","WS/MP196/2024-2025/147626","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","21-Aug-2025","JAI CONSTRUCTION","Payment Success","261960"
"4825","Uttar Pradesh","Purchase of furniture and fixtures for educational purposes","WS/MP196/2024-2025/147626","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","08-Jul-2025","JAI CONSTRUCTION","Payment Success","438488"
"4826","Uttar Pradesh","Purchase of furniture and fixtures for educational purposes","WS/MP196/2024-2025/147625","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","08-Jul-2025","JAI CONSTRUCTION","Payment Success","467752"
"4827","West Bengal","Construction of rooms and halls in school and colleges","WS/MP18383/2024-2025/164708","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","23-Sep-2025","Rahijul Construction","Payment Success","350035"
"4828","West Bengal","Construction of rooms and halls in school and colleges","WS/MP18383/2024-2025/164708","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","15-Jul-2025","Rahijul Construction","Payment Success","1649358"
"4829","Tripura","Construction of rooms and halls in school and colleges","WS/MP18412/2024-2025/152562","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","07-Jul-2025","Hiresh Kanti Dhar","Payment Success","1334800"
"4830","Tripura","Construction of rooms and halls in school and colleges","WS/MP18412/2024-2025/152562","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","25-Sep-2025","Hiresh Kanti Dhar","Payment Success","1011154"
"4831","Tripura","Construction of rooms and halls in school and colleges","WS/MP18412/2024-2025/152562","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","06-Mar-2026","Hiresh Kanti Dhar","Payment Success","152236"
"4832","Rajasthan","Installing hand pumps","WS/MP148/2024-2025/156297","DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","02-Apr-2025","SAROJ","Payment Success","3000"
"4833","Rajasthan","Installing hand pumps","WS/MP148/2024-2025/156291","DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","05-May-2025","MUKESH KUMAR","Payment Success","3000"
"4834","Rajasthan","Installing hand pumps","WS/MP148/2024-2025/156287","DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","07-Nov-2025","DEEPENDRA SINGH RAJAWAT","Payment Success","3000"
"4835","Assam","Construction of public irrigation facilities","WS/MP831/2024-2025/132614","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","17-May-2025","CONST OF SPILWAY AND PROTECTION OF CHETONAGURI","Payment Success","2250000"
"4836","Telangana","Construction of buildings for community cultural activities","WS/MP846/2024-2025/136896","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","24-Mar-2025","A Raja Reddy","Payment Success","200000"
"4837","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP842/2024-2025/132618","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Smt. P. T. Usha (2022-28) (2022-2028)","Nominated MP","26-Mar-2025","Southern Railway","Payment Success","1429385"
"4838","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2024-2025/184479","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","07-May-2025","Executive Engnieer","Payment Success","2500000"
"4839","Tripura","Purchase of ambulances (Four, three and two wheelers)","WS/MP18412/2024-2025/152550","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","02-Jun-2025","Yash Sales Co","Payment Success","1000000"
"4840","Tripura","Purchase of ambulances (Four, three and two wheelers)","WS/MP18412/2024-2025/176735","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","02-Jun-2025","Yash Sales Co","Payment Success","290000"
"4841","Delhi","Lighting of public spaces","WS/MP878/2025-2026/201569","SOUTH(COMMISSIONER SOUTH)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","16-May-2026","Delight Trading Company","Payment Success","723414"
"4842","Delhi","Lighting of public spaces","WS/MP878/2025-2026/201569","SOUTH(COMMISSIONER SOUTH)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","23-Jan-2026","Delight Trading Company","Payment Success","748916"
"4843","Delhi","Street lights","WS/MP878/2025-2026/213675","NEW DELHI(COMMISSIONER MCD NEW DELHI)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","23-Jan-2026","Delight Trading Company","Payment Success","701100"
"4844","Assam","Construction of buildings for multi-gym","WS/MP071/2024-2025/157665","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","14-Jul-2025","CC for Abhiruchi Institute","Payment Success","600000"
"4845","Assam","Construction of buildings for multi-gym","WS/MP071/2024-2025/157665","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","25-Mar-2025","CC for Abhiruchi Institute","Payment Success","900000"
"4846","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP148/2024-2025/150630","Balotra(DISTRICT COLLECTOR Balotra_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","30-Dec-2025","PAWAN CONSTRUCTION COMPANY","Payment Success","363658"
"4847","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP148/2024-2025/150630","Balotra(DISTRICT COLLECTOR Balotra_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","17-Mar-2026","PAWAN CONSTRUCTION COMPANY","Payment Success","533270"
"4848","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18292/2025-2026/160411","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","16-Jul-2026","Gram Panchayat Karyalay Shivani Tq Degloor","Payment Success","499000"
"4849","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18303/2025-2026/220127","Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2)","Shri Amar Pal Maurya (2024-30) (2024-2030)","Elected MP","21-Jun-2026","RAJ CONSTRUCTION AND BUILDING MATERIAL SUPPLIER","Payment Success","447759"
"4850","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18303/2025-2026/220127","Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2)","Shri Amar Pal Maurya (2024-30) (2024-2030)","Elected MP","11-Nov-2025","RAJ CONSTRUCTION AND BUILDING MATERIAL SUPPLIER","Payment Success","508048"
"4851","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/166607","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","10-Nov-2025","MANOJ KUMAR","Payment Success","9100"
"4852","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/166607","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","10-Nov-2025","TULSHI RAM","Payment Success","9100"
"4853","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/166607","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","10-Nov-2025","DILIP KUMAR","Payment Success","3705"
"4854","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/166607","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","10-Nov-2025","NENA RAM","Payment Success","3705"
"4855","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/166607","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","10-Nov-2025","KAILASH KUMAR","Payment Success","3705"
"4856","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/166607","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","10-Nov-2025","PYARELAL","Payment Success","9100"
"4857","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/166607","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","29-Dec-2025","SANJANA DEVI","Payment Success","3705"
"4858","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/166607","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","22-Dec-2025","SANJANA DEVI","Payment Success","3705"
"4859","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/166607","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","22-Dec-2025","GEETA DEVI","Payment Success","3705"
"4860","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/166607","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","29-Dec-2025","GEETA DEVI","Payment Success","3705"
"4861","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP176/2025-2026/243273","DURG(DISTRICT COLLECTOR DURG_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","24-Dec-2025","SARPANCH GRAM PANCHAYAT NIPANI","Payment Success","260000"
"4862","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP176/2025-2026/243272","DURG(DISTRICT COLLECTOR DURG_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","24-Dec-2025","SARPANCH GRAM PANCHAYAT NIPANI","Payment Success","260000"
"4863","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP176/2025-2026/243771","DURG(DISTRICT COLLECTOR DURG_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","12-Jan-2026","SARPANCH GRAM PANCHAYAT CHUNKATTA","Payment Success","260000"
"4864","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP176/2025-2026/243281","DURG(DISTRICT COLLECTOR DURG_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","16-Jan-2026","SARPANCH GRAM PANCHAYAT RAKHI","Payment Success","260000"
"4865","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP176/2025-2026/243281","DURG(DISTRICT COLLECTOR DURG_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","12-Mar-2026","SARPANCH GRAM PANCHAYAT RAKHI","Payment Success","260000"
"4866","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP176/2025-2026/243280","DURG(DISTRICT COLLECTOR DURG_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","05-Jan-2026","SARPANCH GRAM PANCHYATA KARSA","Payment Success","250000"
"4867","Chhattisgarh","Construction of community centers and community halls","WS/MP176/2025-2026/243264","DURG(DISTRICT COLLECTOR DURG_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","24-Dec-2025","SARPANCH GRAM PANCHAYAT KHARRA","Payment Success","350000"
"4868","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/166607","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","29-Dec-2025","MANJU","Payment Success","3705"
"4869","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/166607","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","22-Dec-2025","MANJU","Payment Success","3705"
"4870","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/166607","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","10-Nov-2025","MANJU","Payment Success","3705"
"4871","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/166607","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","10-Nov-2025","PANKAJ SINGH","Payment Success","9100"
"4872","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/166607","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","10-Nov-2025","KUP SINGH","Payment Success","9100"
"4873","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/166607","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","22-Dec-2025","HEMLATA","Payment Success","3705"
"4874","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/166607","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","10-Nov-2025","HEMLATA","Payment Success","3705"
"4875","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/166607","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","29-Dec-2025","HEMLATA","Payment Success","3705"
"4876","Karnataka","Construction of additional rooms and halls in the existing public and community building","WS/MP18421/2025-2026/166592","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri Ajay Makan (2024-30) (2024-2030)","Elected MP","30-Jun-2026","THE HARI SAHARA COOP LABOUR AND CONSRUCTION SOC LIMITED HARIPURA","Payment Success","74591"
"4877","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2024-2025/158699","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","30-Jun-2026","THE HARI SAHARA COOP LABOUR AND CONSRUCTION SOC LIMITED HARIPURA","Payment Success","322345"
"4878","Rajasthan","Construction of public toilets and bathrooms","WS/MP148/2024-2025/158700","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","17-Mar-2026","THE HARI SAHARA COOP LABOUR AND CONSRUCTION SOC LIMITED HARIPURA","Payment Success","194839"
"4879","Karnataka","Construction of additional rooms and halls in the existing public and community building","WS/MP18421/2025-2026/166592","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri Ajay Makan (2024-30) (2024-2030)","Elected MP","12-Nov-2025","THE HARI SAHARA COOP LABOUR AND CONSRUCTION SOC LIMITED HARIPURA","Payment Success","344825"
"4880","Karnataka","Construction of public toilets and bathrooms","WS/MP18296/2025-2026/162103","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","29-Dec-2025","THE HARI SAHARA COOP LABOUR AND CONSRUCTION SOC LIMITED HARIPURA","Payment Success","112075"
"4881","Karnataka","Construction of public toilets and bathrooms","WS/MP18296/2025-2026/162108","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","29-Dec-2025","THE HARI SAHARA COOP LABOUR AND CONSRUCTION SOC LIMITED HARIPURA","Payment Success","178008"
"4882","Assam","Construction of community centers and community halls","WS/MP071/2025-2026/157992","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","10-Feb-2026","Biju Dutta","Payment Success","1015626"
"4883","Assam","Construction of community centers and community halls","WS/MP071/2025-2026/157992","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","11-Nov-2025","Biju Dutta","Payment Success","695886"
"4884","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP071/2025-2026/223189","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","02-Mar-2026","BIKRAM SING DOLEY","Payment Success","475132"
"4885","Punjab","Construction of rooms and halls in school and colleges","WS/MP235/2025-2026/244112","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Nov-2025","GPS Dheera Ghara","Payment Success","348415"
"4886","Punjab","Construction of rooms and halls in school and colleges","WS/MP235/2025-2026/244117","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-Nov-2025","GPS Kamal Wala","Payment Success","289885"
"4887","Punjab","Construction of rooms and halls in school and colleges","WS/MP235/2025-2026/244113","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","27-Nov-2025","GPS Arji Sabhra","Payment Success","41400"
"4888","Punjab","Construction of rooms and halls in school and colleges","WS/MP235/2025-2026/244114","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-Nov-2025","GPS Alle Wala","Payment Success","343045"
"4889","Punjab","Construction of rooms and halls in school and colleges","WS/MP235/2025-2026/244115","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-Nov-2025","GPS Tendi Wala","Payment Success","131700"
"4890","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268761","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","04-Apr-2026","GPS Tendi Wala","Payment Success","100000"
"4891","Punjab","Construction of rooms and halls in school and colleges","WS/MP235/2025-2026/244116","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-Nov-2025","GPS Nihale Wala","Payment Success","171300"
"4892","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/244120","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-Nov-2025","GPS Bhakhra","Payment Success","300000"
"4893","Punjab","Construction of rooms and halls in school and colleges","WS/MP235/2025-2026/244121","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-Nov-2025","GPS Kalu Wala","Payment Success","15200"
"4894","Himachal Pradesh","Installation of multi-gym equipment","WS/MP078/2025-2026/197607","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","12-Nov-2025","GP Nouri","Payment Success","150000"
"4895","Himachal Pradesh","Installation of multi-gym equipment","WS/MP078/2025-2026/197607","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","31-Mar-2026","GP Nouri","Payment Success","150000"
"4896","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP106/2026-2027/287466","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","27-Jul-2026","AADARSH TRADERS","Payment Success","450000"
"4897","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/205969","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","12-Nov-2025","AADARSH TRADERS","Payment Success","150000"
"4898","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP106/2025-2026/228976","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","12-Nov-2025","AADARSH TRADERS","Payment Success","100000"
"4899","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/228235","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","13-Dec-2025","AADARSH TRADERS","Payment Success","100000"
"4900","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/206952","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","12-Nov-2025","AADARSH TRADERS","Payment Success","50000"
"4901","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP106/2025-2026/240646","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","12-Nov-2025","AADARSH TRADERS","Payment Success","500000"
"4902","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP106/2025-2026/240646","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","24-Jan-2026","AADARSH TRADERS","Payment Success","100000"
"4903","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP106/2026-2027/266830","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","11-Jun-2026","AADARSH TRADERS","Payment Success","490000"
"4904","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/237889","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","02-Dec-2025","AADARSH TRADERS","Payment Success","400000"
"4905","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/237889","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","24-Jan-2026","AADARSH TRADERS","Payment Success","100000"
"4906","Madhya Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP106/2025-2026/234627","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","24-Jan-2026","AADARSH TRADERS","Payment Success","100000"
"4907","Madhya Pradesh","Construction of culverts and bridges","WS/MP106/2025-2026/244216","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","13-Dec-2025","AADARSH TRADERS","Payment Success","400000"
"4908","Madhya Pradesh","Construction of culverts and bridges","WS/MP106/2025-2026/244216","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","24-Jan-2026","AADARSH TRADERS","Payment Success","100000"
"4909","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2026-2027/259595","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","14-Jun-2026","AADARSH TRADERS","Payment Success","590000"
"4910","Uttar Pradesh","Lighting of public spaces","WS/MP847/2025-2026/160274","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","26-Nov-2025","AK ENTERPRISES","Payment Success","119711"
