work_id,dataset_count,datasets
WS/MP422/2025-2026/192690,1,LS_completed
WS/MP484/2024-2025/149506,2,LS_completed|RS_sanctioned
WS/MP524/2025-2026/188546,1,LS_completed
WS/MP249/2025-2026/188831,1,LS_completed
WS/MP316/2024-2025/172412,1,LS_completed
WS/MP18321/2024-2025/163334,2,LS_completed|RS_sanctioned
WS/MP316/2024-2025/172413,1,LS_completed
WS/MP508/2024-2025/164293,2,LS_completed|RS_sanctioned
WS/MP508/2024-2025/164295,2,LS_completed|RS_sanctioned
WS/MP508/2024-2025/164294,2,LS_completed|RS_sanctioned
WS/MP316/2024-2025/172408,1,LS_completed
WS/MP484/2024-2025/149534,2,LS_completed|RS_sanctioned
WS/MP18188/2025-2026/154669,2,LS_completed|RS_sanctioned
WS/MP249/2025-2026/186407,1,LS_completed
WS/MP249/2025-2026/186396,1,LS_completed
WS/MP18188/2025-2026/154668,2,LS_completed|RS_sanctioned
WS/MP18157/2024-2025/172359,1,LS_completed
WS/MP18186/2025-2026/170897,1,LS_completed
WS/MP484/2025-2026/176853,1,LS_completed
WS/MP18039/2025-2026/168146,1,LS_completed
WS/MP484/2025-2026/176854,1,LS_completed
WS/MP758/2025-2026/175011,1,LS_completed
WS/MP18039/2025-2026/168147,1,LS_completed
WS/MP18039/2025-2026/168148,1,LS_completed
WS/MP18039/2025-2026/168149,1,LS_completed
WS/MP18039/2025-2026/168150,1,LS_completed
WS/MP18311/2025-2026/194231,1,LS_completed
WS/MP18172/2025-2026/192715,1,LS_completed
WS/MP632/2024-2025/142066,2,LS_completed|RS_sanctioned
WS/MP745/2025-2026/141246,2,LS_completed|RS_sanctioned
WS/MP618/2025-2026/171181,1,LS_completed
WS/MP508/2024-2025/164193,2,LS_completed|RS_sanctioned
WS/MP316/2024-2025/172411,1,LS_completed
WS/MP745/2025-2026/141243,2,LS_completed|RS_sanctioned
WS/MP316/2024-2025/172409,1,LS_completed
WS/MP18350/2025-2026/206650,1,LS_completed
WS/MP316/2024-2025/172410,1,LS_completed
WS/MP755/2024-2025/151522,2,LS_completed|RS_sanctioned
WS/MP18350/2025-2026/206654,1,LS_completed
WS/MP18350/2025-2026/206653,1,LS_completed
WS/MP18350/2025-2026/206652,1,LS_completed
WS/MP18350/2025-2026/206651,1,LS_completed
WS/MP457/2024-2025/156727,2,LS_completed|RS_sanctioned
WS/MP457/2024-2025/156730,2,LS_completed|RS_sanctioned
WS/MP457/2024-2025/156729,2,LS_completed|RS_sanctioned
WS/MP457/2024-2025/156728,2,LS_completed|RS_sanctioned
WS/MP18219/2025-2026/149615,2,LS_completed|RS_sanctioned
WS/MP457/2024-2025/156732,2,LS_completed|RS_sanctioned
WS/MP457/2024-2025/156731,2,LS_completed|RS_sanctioned
WS/MP18394/2025-2026/196280,1,LS_completed
WS/MP18040/2025-2026/192691,1,LS_completed
WS/MP18265/2025-2026/163881,2,LS_completed|RS_sanctioned
WS/MP18069/2025-2026/175887,1,LS_completed
WS/MP18069/2025-2026/175888,1,LS_completed
WS/MP18040/2025-2026/191379,1,LS_completed
WS/MP18350/2025-2026/197054,1,LS_completed
WS/MP18377/2024-2025/161021,2,LS_completed|RS_sanctioned
WS/MP18350/2025-2026/197050,1,LS_completed
WS/MP18350/2025-2026/197051,1,LS_completed
WS/MP640/2025-2026/175502,1,LS_completed
WS/MP18377/2024-2025/161031,2,LS_completed|RS_sanctioned
WS/MP18350/2025-2026/197052,1,LS_completed
WS/MP508/2024-2025/164192,2,LS_completed|RS_sanctioned
WS/MP18350/2025-2026/197053,1,LS_completed
WS/MP552/2024-2025/169392,1,LS_completed
WS/MP005/2025-2026/175205,1,LS_completed
WS/MP005/2024-2025/175233,1,LS_completed
WS/MP18020/2025-2026/207095,1,LS_completed
WS/MP18019/2025-2026/173478,1,LS_completed
WS/MP18169/2025-2026/182706,1,LS_completed
WS/MP18367/2025-2026/198248,1,LS_completed
WS/MP18227/2025-2026/174109,1,LS_completed
WS/MP18162/2025-2026/195015,1,LS_completed
WS/MP18320/2025-2026/175023,1,LS_completed
WS/MP18155/2024-2025/141717,2,LS_completed|RS_sanctioned
WS/MP18029/2025-2026/206796,1,LS_completed
WS/MP18157/2024-2025/172297,1,LS_completed
WS/MP728/2025-2026/196229,1,LS_completed
WS/MP728/2025-2026/191747,1,LS_completed
WS/MP343/2024-2025/163666,2,LS_completed|RS_sanctioned
WS/MP18137/2025-2026/157803,2,LS_completed|RS_sanctioned
WS/MP758/2025-2026/157282,2,LS_completed|RS_sanctioned
WS/MP758/2025-2026/157281,2,LS_completed|RS_sanctioned
WS/MP18324/2024-2025/151482,2,LS_completed|RS_sanctioned
WS/MP549/2025-2026/195435,1,LS_completed
WS/MP432/2025-2026/206013,1,LS_completed
